Codice,Autore,Titolo,Editore,Anno,Luogo,Pagine,Classificazione
L427,Wilbur Smith,La voce del tuono,Tea,,,0,Romanzo
L603,Franz Monssen,Laboratorio di circuiti elettrici con OrCAD PSpice,Apogeo,,,0,Elettronica
L207,Leonardo Sciascia,L'affaire Moro (Piccola Biblioteca Adelphi),Adelphi,,,0,Politica
L460,Gabriel Garcia Marquez,L'Amore ai Tempi del Colera,Mondadori,,,0,Romanzo
L245,Catherine Salles,L'amore al tempo dei romani,Gremese Editore,,,0,Storia
L595,José Saramago,Cecità,Feltrinelli,,,0,Romanzo
L456,Arthur Phillips,L'Archeologo,Rizzoli,,,0,Gialli
L462,Ovidio,L'Arte d'Amare,Rizzoli - RCS Libri,,,0,Classici
L311,Betty Edwards,L'arte del colore. Guida pratica all'uso dei colori,Longanesi,,,0,Arte
L214,"Art Wolfe, Rob Sheppard",L'arte della fotografia. Ediz. a colori,White Star,,,0,Fotografia
L168,Nicola Gardini,Latino,Alpha Test,,,0,Lingue
L67,"Rinaldo Donzelli, Bruno Munari, Piero Polato",Lavori in legno,Orsa Maggiore,,,0,Hobby
L162,Gianni Oliva,L'avventura coloniale italiana. L'Africa Orientale Italiana (1885-1942),Edizioni del Capricorno,,,0,Storia
L135,Andrea Camilleri,Le ali della sfinge,Sellerio Editore Palermo,,,0,Romanzo
L117,A.Conan Doyle,Le avventure di Sherlock Holmes,Newton,,,0,Gialli
L540,Davide Castellini,Le canzoni di Peter Gabriel,Editori Riuniti,,,0,Musica
L337,Berto Dodson,Le chiavi del disegno,Newton Compton,,,0,Arte
L133,Andrea Camilleri,Le inchieste del commissario Collura,Mondadori,,,0,Romanzo
L45,Vittorio Sgarbi,Le meraviglie di Roma. Dal Rinascimento ai giorni nostri,Dizionari Dei Monumenti Italiani,,,0,Arte
L76,"Laurence Gardner, A. Moro, T. Topini",Le misteriose origini dei re del Graal,Newton Compton,,,0,Storia
L602,Ernest Hemingway,Le Nevi del Kilimangiaro / The Snows of Kilimanjaro [Bilingual Text],Mondadori,,,0,Romanzo
L60,Martin Rua,Le nove chiavi dell'antiquario. Parthenope trilogy,Newton Compton,,,0,Romanzo
L275,George L. Mosse,Le origini culturali del Terzo Reich,Il Saggiatore Tascabili,,,0,Storia
L662,Gaetano Salvemini,Le origini del fascismo in Italia,Feltrinelli,,,0,Storia
L145,Andrea Camilleri,Le pecore e il pastore,Sellerio Editore Palermo,,,0,Romanzo
L68,"Javier Sierra, C. Marinelli",Le porte dei templari,Net,,,0,Romanzo
L348,Fabio Volo,Le prime luci del mattino,Mondadori,,,0,Romanzo
L172,Oriana Fallaci,Le radici dell'odio. La mia verità sull'Islam,Rizzoli,,,0,Sociologia
L227,Hans Jonas,Il concetto di Dio dopo Auschwitz,Il melangolo,,,0,Saggi
L316,Pierre Dukan,Le ricette della dieta Dukan. 350 ricette per dimagrire senza soffrire,Sperling Kupfer,,,0,Dieta
L8,Gianrico Carofiglio,Le tre del mattino,Einaudi,,,0,Romanzo
L43,Emanuele Campiglio,L'economia buona,Presente Storico,,,0,Economia
L530,Christian Jacq,L'Egitto dei grandi Faraoni,Mondadori,,,0,Archeologia
L379,Muriel Barberry,L'eleganza Del Riccio,EO,,,0,Romanzo
L90,Pietro Borromeo,L'enigma del Bafometto,Fermento,,,0,Romanzo
L418,Alberto Bevilacqua,L'eros,Mondadori,,,0,Romanzo
L421,Luigi. Pirandello,L'Esclusa,Garzanti,,,0,Letteratura
L152,Michele Brambilla,L'eskimo in redazione,Mondadori,,,0,Politica
L199,Carlo Lucarelli,L'estate torbida,Einaudi,,,0,Romanzo
L284,Ian Rankin,Let It Bleed,Orion,,,0,Gialli
L636,Andrea Camilleri,L'eta del dubbio,Sellerio Editore,,,0,Romanzo
L229,Sabrina Torno,Letteratura latina,Alpha Test,,,0,Lingue
L342,Allison Weir,Traitors of the Tower,Vintage UK,,,0,Storia
L88,"Vincent Van Gogh, M. Cescon, M. Donvito, B. Casavecchia",Lettere a Theo,Guanda,,,0,Arte
L114,"Antonio Gramsci, P. Spriano",Lettere dal carcere,Einaudi,,,0,Politica
L170,Joseph Conrad,Cuire di Tenebra,Feltrinelli,,,0,aa
L332,Stephen Shore,Lezione di fotografia. La natura delle fotografie,Phaidon,,,0,Fotografia
L455,Margherita Hack,Libera scienza in libero Stato,Rizzoli,,,0,Sociologia
L369,Frank Schatzing,Limit,Nord,,,0,Romanzo
L416,Milan Kundera,L'Insostenibile Leggerezza dell'essere,Adelphi,,,0,Romanzo
L601,Carla Schroder,Linux cookbook,Tecniche Nuove,,,0,Informatica
L556,Craig Hunt,Linux Network Server,Jackson Libri,,,0,Informatica
L463,"Hill B. Mako, J. Bacon, C. Burger",Linux Ubuntu. La guida ufficiale.,Mondadori Informatica,,,0,Informatica
L499,Jonathan Nasaw,L'Isola della strage - Morte ai Caraibi,Mondadori,,,0,Gialli
L203,"Christina Lamb, Nujeen Mustafa",Lo straordinario viaggio di Nujeen. Dalla Siria alla Germania in sedia a rotelle per fuggire dalla guerra,Harpercollins Italia,,,0,Narrativa
L481,Paulo Coelho,Lo Zahir,Bompiani,,,0,Romanzo
L279,Michael Freeman,L'occhio del Fotografo - La composizione nella fotografia digitale,Logos,,,0,Fotografia
L184,Irene Belloni,L'occhio di Horus,lulu.com,,,0,Romanzo
L71,Pietro Borromeo,L'ombra del Bafometto,Fermento,,,0,Romanzo
L437,Wilbur Smith,L'ombra del sole,Tea,,,0,Romanzo
L611,Carlos Ruiz Zafon,L'ombra Del Vento,Mondadori,,,0,Romanzo
L253,Edward Rutherfurd,London,Arrow,,,0,Romanzo
